Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
eightyone.video,available,52,3%,10,Mathematics,,,
lxiii.video,available,52,2%,5,Mathematics,,,
lxxvii.video,available,52,2%,6,Mathematics,,,
ninetysix.video,available,52,4%,10,Mathematics,,,
lxvii.video,available,52,1%,5,Mathematics,,,
sixtyfive.video,available,52,3%,10,Mathematics,,,
lxi.video,available,52,5%,3,Mathematics,,,
lxxxv.video,available,52,1%,5,Mathematics,,,
lxiv.video,available,52,3%,4,Mathematics,,,
lxviii.video,available,52,1%,6,Mathematics,,,
ablated.video,available,52,1%,7,Science,,,
xciv.video,available,52,2%,4,Mathematics,,,
lxxii.video,available,52,1%,5,Mathematics,,,
lxxiv.video,available,52,1%,5,Mathematics,,,
aboulic.video,available,52,1%,7,Medicine,,,
lxxxi.video,available,52,1%,5,Mathematics,,,
repugnant.video,available,52,1%,9,Humanities,,,
lxxxvi.video,available,52,1%,6,Mathematics,,,
xciii.video,available,52,1%,5,Mathematics,,,
tierce.video,available,52,3%,6,General,,,
eightytwo.video,available,52,4%,10,Mathematics,,,
ixl.video,available,52,9%,3,Mathematics,,,
lxxv.video,available,52,1%,4,Mathematics,,,
lxvi.video,available,52,3%,4,Mathematics,,,
xcvii.video,available,52,1%,5,Mathematics,,,
lxxvi.video,available,52,1%,5,Mathematics,,,
sixtyfour.video,available,52,3%,10,Mathematics,,,
xcviii.video,available,52,1%,6,Mathematics,,,
ninetyone.video,available,52,5%,10,Mathematics,,,
lxxxii.video,available,52,1%,6,Mathematics,,,
lxv.video,available,52,5%,3,Mathematics,,,
littlejoe.video,available,52,2%,10,"Entertainment,Media",,,
abstruse.video,available,52,5%,8,"Humanities,Mathematics,Science",,,
lxii.video,available,52,1%,4,Mathematics,,,
abusive.video,available,52,3%,7,"Healthcare,Law",,,
ninetytwo.video,available,52,4%,10,Mathematics,,,
ixc.video,available,52,5%,3,Mathematics,,,
lxxi.video,available,52,1%,4,Mathematics,,,
xcii.video,available,52,2%,4,Mathematics,,,
detestable.video,available,52,1%,10,Humanities,,,
abysmal.video,available,52,4%,7,"Arts,Entertainment,Media",,,
xcvi.video,available,52,2%,4,Mathematics,,,
odious.video,available,52,2%,6,"Entertainment,Humanities",,,
lxxxiv.video,available,52,1%,6,Mathematics,,,
lxxxvii.video,available,52,1%,7,Mathematics,,,
xci.video,available,52,4%,3,Mathematics,,,
chagrined.video,available,52,1%,9,Humanities,,,
sixtytwo.video,available,52,3%,9,Mathematics,,,
decumbent.video,available,52,1%,9,"Healthcare,Medicine,Science",,,
vinegary.video,available,50,1%,8,Food and Beverage,,,
adactylous.video,available,50,0%,10,Science,,,
acaudal.video,available,50,1%,7,"Agriculture,Science",,,
abactinal.video,available,50,0%,9,Science,,,
aculeated.video,available,50,0%,9,"Engineering,Medicine,Science",,,
trine.video,available,50,11%,5,"General,Religion",,,
needlelike.video,available,50,0%,10,"Engineering,Medicine,Science",,,
abranchial.video,available,50,0%,10,Science,,,
acetose.video,available,50,1%,7,Science,,,
quint.video,available,50,13%,5,"Arts,Entertainment",,,
aborticide.video,available,50,0%,10,Medicine,,,
acerb.video,available,50,2%,5,Science,,,
scummy.video,available,50,1%,6,Humanities,,,
adhominem.video,available,50,2%,10,"Humanities,Law,Politics",,,
abdicable.video,available,50,0%,9,Law,,,
gillless.video,available,50,0%,9,Science,,,
abducting.video,available,50,0%,9,Medicine,,,
acellular.video,available,50,1%,9,Science,,,
acquitted.video,available,50,1%,9,Law,,,
acapnotic.video,available,50,0%,9,"Healthcare,Medicine,Science",,,
abbatial.video,available,50,0%,8,Religion,,,
acerbic.video,available,50,2%,7,"Arts,Humanities,Media",,,
acapnic.video,available,50,0%,7,"Healthcare,Medicine,Science",,,
acetous.video,available,50,1%,7,Science,,,
lxx.video,available,50,5%,3,Mathematics,,,
acerose.video,available,50,1%,7,Science,,,
abomasal.video,available,50,0%,8,Agriculture,,,
triplet.video,available,50,8%,7,Science,,,
broached.video,available,50,0%,8,Food and Beverage,,,
ogdoad.video,available,50,1%,6,Mathematics,,,
cinque.video,available,50,7%,6,Mathematics,,,
spinous.video,available,50,1%,7,"Agriculture,Science",,,
lxxxviii.video,available,48,1%,8,Mathematics,,,
apriori.video,available,48,13%,8,Mathematics,,,
notguilty.video,available,48,5%,10,Law,,,
execrable.video,available,48,0%,9,"Entertainment,Humanities",,,
ilxx.video,available,48,1%,4,Mathematics,,,
abyssal.video,available,48,12%,7,"Arts,Entertainment,Media",,,
abstracted.video,available,48,5%,10,"Arts,Humanities,Science",,,
ilxxx.video,available,48,1%,5,Mathematics,,,
acaudate.video,available,46,1%,8,"Agriculture,Science",,,
acetabular.video,available,46,1%,10,Science,,,
acicular.video,available,46,2%,8,Science,,,
stemless.video,available,46,2%,8,"Agriculture,Science",,,
achromous.video,available,46,1%,9,Science,,,
acarpous.video,available,46,0%,8,"Agriculture,Science",,,
vinegarish.video,available,46,1%,10,Food and Beverage,,,
acephalous.video,available,46,1%,10,Science,,,
acarpelous.video,available,46,0%,10,"Agriculture,Science",,,
theabsurd.video,available,46,1%,10,"Arts,Entertainment,Media",,,
acetylic.video,available,46,1%,8,Science,,,
achenial.video,available,46,1%,8,Science,,,
stripling.video,available,46,2%,9,"Education,Entertainment,Healthcare",,,
acapnial.video,available,46,0%,8,"Healthcare,Medicine,Science",,,
acanthotic.video,available,46,0%,10,"Agriculture,Science",,,
acetylenic.video,available,46,1%,10,Science,,,
acanthous.video,available,46,0%,9,"Agriculture,Science",,,
cotyloid.video,available,46,1%,8,Science,,,
achromic.video,available,46,2%,8,Science,,,
acanthoid.video,available,46,1%,9,"Agriculture,Science",,,
acetonic.video,available,46,1%,8,Science,,,
acheronian.video,available,46,1%,10,Humanities,,,
quaternary.video,available,46,3%,10,Mathematics,,,
acherontic.video,available,44,1%,10,Humanities,,,
cotyloidal.video,available,44,1%,10,Science,,,
accusatory.video,available,44,1%,10,Law,,,
abscessed.video,available,41,0%,9,Healthcare,,,
phoebe.video,available,41,14%,6,Science,,,
accusive.video,available,40,1%,8,Law,,,
scurrilous.video,available,40,1%,10,"Entertainment,Media,Politics",,,
accurst.video,available,40,1%,7,Religion,,,
